"","ID","ID-IC","Name","State-District","Long","Lat","1901","1911","1921","1931","1941","1951","1961","1981","1991","2001","2011"
"44","Guw16194","Guw1806","Guwahati","18_06",91.7467,26.1795,117000,125000,165000,218000,296000,345000,374761,641383,841057,980449,1136974
"45","Haj15699","Haj1018","Hajipur","10_18",85.20758,25.687193,214000,193000,168000,193000,220000,252000,412619,649052,744804,912921,1136842
"46","Jod9619","Jod815","Jodhpur","08_15",73.0273,26.2895,79200,79800,73500,94800,126900,180800,396762,524337,687506,896589,1122636
"47","Ali10989","Ali912","Aligarh","09_12",78.0759,27.8897,72100,66400,67000,83900,112700,141700,341865,489779,598742,747983,1092527
"48","Sal1369","Sal3308","Salem","33_08",78.1572,11.6555,70700,59200,52300,102200,129800,213700,215409,439566,603180,854220,1024820
"49","Bar11353","Bar920","Bareilly","09_20",79.416004,28.365336,133200,129500,129500,144100,192700,208100,416468,643915,645872,792560,1003958
"50","Kot8939","Kot830","Kota","08_30",75.840503,25.177681,46338,45100,49907,59480,88875,125184,299332,475665,550420,728313,1001365
"51","Jal13078","Jal304","Jalandhar","03_04",75.5704,31.3313,67800,69400,71100,89100,135300,202100,325351,483119,592200,816908,982841
"52","Tir756","Tir3315","Tiruchirappalli","33_15",78.693827,10.815137,127900,148400,143700,181600,202800,214500,254077,436248,561905,846198,981453
"53","Sol4931","Sol2730","Solapur","27_30",75.911526,17.663069,75300,61400,119600,144700,212700,257100,300773,537094,604215,872478,951118
"54","Hub2953","Hub2909","Hubli-Dharwad","29_09",75.1382,15.3485,81200,91100,101000,124400,143600,196200,342620,527108,648298,786195,943857
"55","Bhi6626","Bhi2210","BhilaiNagar","22_10",81.3541,21.1962,NA,NA,NA,NA,NA,NA,256605,543320,682758,913010,939645
"56","Tir992","Tir3312","Tiruppur","33_12",77.3494,11.1019,NA,13063,17106,28406,62063,100800,244103,390609,426937,584351,931862
"57","Mys1695","Mys2926","Mysore","29_26",76.655504,12.317318,68200,71400,84000,107200,150600,244400,567610,677970,686636,811930,925387
"58","Mor11688","Mor904","Moradabad","09_04",78.775781,28.836339,75100,81200,82700,110600,142500,161900,162665,357895,603180,646555,896525
"59","Aga14201","Aga1601","Agartala","16_01",91.2931,23.8379,65000,69000,78000,96000,177000,226000,353412,537438,718427,774228,880035
"60","Bhu7044","Bhu2117","Bhubaneswar","21_17",85.817,20.2703,NA,NA,NA,NA,NA,166000,98590,116237,217847,678417,849078
"61","Deh12808","Deh505","Dehradun","05_05",78.0411,30.3137,31000,42600,50900,53000,80600,144300,242070,340225,378490,611897,822600
"62","Bhi5959","Bhi2721","Bhiwandi","27_21",73.05428,19.297693,104000,133000,122000,157000,188000,238000,276475,398847,535585,679448,813262
"63","Gun3530","Gun2817","Guntur","28_17",80.4498,16.2915,30900,40600,48200,65200,83600,125300,282978,445500,561221,628807,790296
"64","Kur3186","Kur2821","Kurnool","28_21",78.0452,15.83,27940,28710,33040,41772,56625,77184,169065,241218,280561,357295,764449
"65","Sah12695","Sah901","Saharanpur","09_01",77.540757,29.969056,66300,62900,62300,78700,105700,148500,213923,330612,416867,523993,733791
"66","Man1313","Man323","Mananthavady","32_03",76.0043,11.7949,NA,NA,NA,NA,NA,NA,291447,492066,559060,672938,716967
"67","Sil17888","Sil1901","Siliguri","19_01",88.4214,26.6978,NA,NA,NA,NA,10500,32500,202505,276724,307155,598354,709866
"68","Muz16552","Muz1014","Muzaffarpur","10_14",85.3905,26.1037,50270,48070,38704,50858,67750,94208,226350,411431,444025,568400,691021
"69","Pon1065","Pon3402","Pondicherry","34_02",79.828411,11.936203,NA,NA,NA,NA,NA,NA,133767,248386,262087,569927,672644
"70","Gor17734","Gor958","Gorakhpur","09_58",83.359994,26.762378,64200,56900,58000,75700,95200,132500,350802,468082,535450,660682,671048
"71","Bik11207","Bik803","Bikaner","08_03",73.3296,28.0207,53100,55900,69500,86000,127300,126100,207479,406171,419418,533876,655392
"72","Ero1129","Ero3310","Erode","33_10",77.727619,11.342207,21450,23100,36096,52889,74063,110592,255703,440398,488133,546379,651967
"73","War5099","War2809","Warangal","28_09",79.601135,17.975601,10500,48400,46800,62200,92900,133200,270453,466850,486354,598497,651327
"74","Kol4017","Kol2734","Kolhapur","27_34",74.2239,16.6964,54400,42100,52300,66800,93100,136900,305198,398127,470374,564138,650613
"75","Amr6511","Amr2707","Amravati","27_07",77.755248,20.926654,50500,51800,57900,70800,90500,124200,205231,394675,421576,549510,646801
"76","Bha7336","Bha2414","Bhavnagar","24_14",72.154541,21.766171,56500,60700,59400,75600,102900,138000,192482,389901,427832,545167,633790
"77","Jam13216","Jam113","Jammu","01_13",74.8636,32.7465,36200,31800,31600,38700,50400,76600,NA,NA,NA,670631,631173
"78","Tir2333","Tir2823","Tirupati","28_23",79.4216,13.6338,155000,168000,175000,192000,202000,203000,200625,338880,379868,306982,627107
"79","Fir10303","Fir916","Firozabad","09_16",78.3979,27.1533,16900,13600,20200,23200,40600,65500,155928,254171,303863,481814,614895
"80","Cut7057","Cut2112","Cuttack","21_12",85.9003,20.4573,51400,52600,51100,65300,74300,108600,274188,415141,446321,542176,614510
"81","Nel2558","Nel2819","Nellore","28_19",79.984416,14.453515,32100,33300,35900,45900,56400,81500,172733,294601,383421,475655,590711
"82","Ajm9730","Ajm821","Ajmer","08_21",74.6376,26.4503,73900,86300,113600,119600,147300,196700,232652,405498,423031,515235,581448
"83","Dur14013","Dur1909","Durgapur","19_09",87.2816,23.5643,NA,NA,NA,NA,NA,NA,209725,415448,432885,503608,580172
"84","Asa14155","Asa1909","Asansol","19_09",86.9612,23.6897,15000,22000,26500,48700,98800,143482,143482,247963,272698,487639,579100
"85","Bok14081","Bok2013","BokaroSteelCity","20_13",86.146362,23.662424,NA,NA,NA,NA,NA,NA,241044,378559,406259,500505,570496
"86","Beg15385","Beg1020","Begusarai","10_20",86.137,25.4225,NA,NA,NA,NA,12900,15200,186012,297985,337842,481026,569110
"87","Mal6407","Mal2720","Malegaon","27_20",74.5254,20.5552,19100,19100,23600,29500,36800,55100,132735,272814,370798,460067,565354
"88","Kis13397","Kis1915","KismatBajkul","19_15",87.843144,22.002793,NA,NA,NA,NA,NA,NA,226107,375800,408026,478550,559012
"89","San4301","San2735","Sangli-MirajKupwad","27_35",74.581184,16.851265,NA,NA,NA,NA,NA,NA,246730,367587,408511,484760,551560
"90","Nan5884","Nan2715","Nanded-Waghala","27_15",77.311119,19.167024,15620,19470,25370,31860,45875,83328,197250,278499,319400,462455,550564
"91","Jha9064","Jha936","Jhansi","09_36",78.57654,25.444019,55800,76200,74900,93200,103300,127400,233161,362994,411214,465280,549238
"92","Pan12202","Pan607","Panipat","06_07",76.973,29.3848,29700,29040,32332,38940,47375,70400,189235,245158,256317,421222,542636
"93","Gul4655","Gul2904","Gulbarga","29_04",76.8369,17.3396,32230,35750,42362,48498,67000,98816,214535,286046,310920,430265,532031
"94","Jam7765","Jam2410","Jamnagar","24_10",70.057152,22.463656,53900,44900,42500,55100,71600,113400,266608,396329,401074,539889,531854
"95","Tir141","Tir3329","Tirunelveli","33_29",77.739524,8.721627,80100,89800,100500,118600,132000,110363,100723,130882,155260,444913,523004
