ID,Name,ID_REG,Country,Lat,Long,1840,1856,1897,1926,1939,1959,1970,1979,1989,2002,2010
AKA13108,Shymkent,KAZ004,Kazakhstan,42.3,69.6,0,0,11194,21000,74000,153241,247064,321535,392977,413332,603499
AUZ05104,Namangan,OUZ00,Uzbekistan,41,71.67,0,0,62017,74000,80000,123467,175267,257046,414100,522579,603126
AR78401,Iaroslavl,RUS79,Russia,57.63333333,39.86666667,33197,26915,71616,112200,299400,407100,517300,597000,633000,613088,591486
AR71401,Tioumen,RUS70,Russia,57.15,65.53333333,0,11215,29544,50300,79200,150200,268500,359000,481914,516059,581758
AR97401,Tcheboksary,RUS69,Russia,56.13333333,47.25,0,0,0,0,31000,104400,255000,392900,534400,566478,577758
AR08401,Khabarovsk,RUS26,Russia,48.48333333,135.0666667,0,0,14971,46100,199200,322700,436000,527800,600600,583072,577668
ALI10116,Vilnius,LIT00,Lithuania,54.68,25.32,53538,45881,154532,174576,209400,242853,385150,499280,606831,565300,571706
AR32401,Kemerovo,RUS25,Russia,55.33333333,86.06666667,0,0,0,21700,137000,346779,453996,539359,590907,560938,561526
AR42401,Lipetsk,RUS36,Russia,52.61666667,39.6,0,11300,22224,32148,92500,206987,349752,460490,530442,553592,554922
AUZ01101,Andidjan,OUZ00,Uzbekistan,40.78,72.34,0,0,47627,80194,105000,151328,216478,297989,399405,488114,554539
AR53401,Orenbourg,RUS47,Russia,51.76666667,55.1,12331,13662,72425,122200,171700,267300,344300,458700,546500,549361,546987
AR61401,Riazan,RUS56,Russia,54.61666667,39.71666667,19949,21449,47622,52677,100496,224300,367500,471100,533300,540710,543440
AR69401,Tomsk,RUS71,Russia,56.5,84.96666667,11728,20202,52210,92300,145000,248800,338400,420700,502000,487838,522940
AR12401,Astrakhan,RUS06,Russia,46.35,48.03333333,45703,34582,112880,175400,253600,295800,410500,461000,509200,504501,520662
AR56401,Penza,RUS51,Russia,53.2,45.01666667,19741,23772,59981,91200,159800,255500,373700,482900,542600,518025,517137
AR92430,Naberejnie Tchelny,RUS65,Russia,55.7,52.33333333,0,0,0,0,0,19100,37900,301400,500300,509870,513242
AUA14104,Mikolaiv,UKR16,Ukraine,46.97,32,29564,44280,92012,101182,178484,260551,372321,451741,522343,512827,501183
ABE04104,Gomel,BEL00,Belarus,52.44,30.98,0,10113,36775,82952,139120,168270,272253,382785,500846,478912,487200
AUA05132,Maryoupol' / jdanov,UKR06,Ukraine,47.1,37.55,0,0,31116,40825,221529,291426,425750,512612,529724,500766,480129
AR33401,Kirov,RUS28,Russia,58.6,49.65,10591,15500,25008,61200,145411,278379,370073,436972,499530,480411,473668
AUA12117,Lougansk,UKR14,Ukraine,48.57,39.33,0,0,20404,71006,218780,285667,395405,482558,521510,484077,458156
AR07427,Piatigorsk,RUS62,Russia,44.03333333,43.05,0,0,23140,96700,118300,192670,302811,357065,401154,424975,450491
AR27401,Kaliningrad,RUS20,Russia,54.71666667,20.5,0,0,162000,180279,189129,206000,300600,360700,409200,440916,443924
AUZ08104,Nukus,OUZ00,Uzbekistan,42.45,59.61,0,0,0,0,10000,67415,131968,190131,287708,375781,443835
AR24401,Ivanovo,RUS18,Russia,57,40.98333333,0,0,57508,122800,304200,355500,441900,489600,508000,460482,438685
AR65476,Nijni-Taguil,RUS63,Russia,57.91666667,59.96666667,0,0,30000,38800,194400,397200,444600,473600,515600,469427,433932
AR15401,Briansk,RUS11,Russia,53.25,34.36666667,0,11254,24781,25100,93900,218300,330600,408200,467400,447030,429514
AUA05111,Gorlivka,UKR06,Ukraine,48.3,38.05,0,0,0,83758,374155,531349,556489,552663,562443,482366,428911
AUA05126,Kramatorsk,UKR06,Ukraine,48.72,37.53,0,0,15792,71841,302424,345108,432799,494749,514679,462494,428750
ATU05103,Turkmenabat / Tchardjou,TUR00,Turkmenistan,39.1,63.58,0,0,0,0,51000,66112,96383,140182,167394,298979,427252
AUZ09104,Samarkand,OUZ00,Uzbekistan,39.65,66.96,0,0,55128,105106,137237,206866,281140,521859,416331,416476,418166
AR38401,Koursk,RUS32,Russia,51.71666667,36.18333333,24279,40771,75721,96900,143700,204700,284200,375300,424200,412442,414595
AR75438,Magnitogorsk,RUS66,Russia,53.38333333,59.03333333,0,0,0,0,145900,311100,364200,406100,440300,418545,408401
AUZ03101,Fergana,OUZ00,Uzbekistan,40.39,71.78,0,0,45418,80567,104171,154675,216554,300414,373120,391032,407452
AR81401,Oulan-Oude,RUS10,Russia,51.83333333,107.6166667,0,0,0,29400,125700,175200,253600,304290,367695,375417,404357
AR28401,Tver,RUS74,Russia,56.86666667,35.9,17325,12867,53544,106200,216100,261000,345100,411500,450900,408903,403726
AES01140,Tallinn,EST00,Estonie,59.43333333,24.75,20284,64572,50488,127343,160500,281714,362706,429727,482037,398434,399340
AR07401,Stavropol,RUS62,Russia,45.05,41.98333333,0,17309,41590,57400,85300,141000,198300,258200,318300,354867,398266
AR11401,Arkhanguelsk,RUS05,Russia,64.55,40.53333333,10544,15157,20882,71100,284600,272600,376800,432800,466100,399434,389328
AR47401,Mourmansk,RUS41,Russia,68.96666667,33.08333333,0,0,0,0,120972,271140,370436,455095,560912,418642,382344
AR14401,Belgorod,RUS08,Russia,50.6,36.6,11100,12796,26564,31000,34400,72300,151300,245785,311127,352362,373025
AUA02103,Vinnitsya,UKR03,Ukraine,49.23,28.48,0,0,30563,52454,93032,121854,211572,314446,374304,357302,369214
ALI02108,Kaunas,LIT00,Lithuania,54.9,23.9,0,20003,70920,99157,134342,216837,310703,379732,435269,388513,361992
AUA01113,Simferopol,UKR01,Ukraine,44.96,34.11,0,26481,49078,86145,142634,199037,264410,320758,367270,366449,360337
ABE06110,Mogileu,BEL00,Belarus,53.91,30.34,23103,22815,43119,46562,99428,121712,202314,290361,359188,361635,359596
AUA27103,Sevastopol,UKR02,Ukraine,44.6,33.53,37630,41820,54810,69594,114252,148033,239109,311429,368565,352466,351964
ABE03104,Vitebsk,BEL00,Belarus,55.19,30.19,17861,20728,65871,91201,167299,148300,230804,296605,350004,341719,351231
AKA04101,Aktobe,KAZ003,Kazakhstan,50.3,57.18,0,0,0,21000,49000,96680,149914,190569,253532,251085,345687
AR17401,Vladimir,RUS75,Russia,56.13333333,40.41666667,12035,12666,28479,36900,66800,153900,237937,304850,366343,327572,345598
AR89401,Saransk,RUS39,Russia,54.18333333,45.18333333,10131,11222,14584,15200,58200,115900,231700,312100,363100,354656,344954
AR03426,Sotchi,RUS33,Russia,43.6,39.71666667,0,0,0,12467,54966,131016,224000,287400,336500,328809,343285
AUZ02101,Bukhara,OUZ00,Uzbekistan,39.77,64.43,0,0,0,47000,50000,90357,145717,226525,283588,314760,340033
AR53423,Orsk,RUS47,Russia,51.2,58.56666667,0,0,14016,13300,69300,230700,308700,341300,376800,357278,337936
AR37401,Kourgan,RUS31,Russia,55.45,65.33333333,0,0,10301,28000,53300,145700,243900,309900,355500,345515,333640
ABE05104,Grodna,BEL00,Belarus,53.68,23.81,15526,15012,46919,48482,49200,72943,132471,194775,270535,309452,332870
AR54401,Orel,RUS46,Russia,52.96666667,36.08333333,32600,35281,69735,75600,110600,152962,234974,312432,349250,345409,329849
AR90401,Vladikavkaz,RUS167,Russia,43.01666667,44.68333333,0,0,43740,73600,130800,164400,243759,289087,311460,330182,328410
AR66401,Smolensk,RUS61,Russia,54.78333333,32.05,0,0,46699,73100,157000,160023,230620,299247,341500,325137,326863
AR29401,Kalouga,RUS22,Russia,54.51666667,36.26666667,35274,31027,49513,49400,89400,134200,210900,265000,311400,334751,325185
AR76401,Tchita,RUS80,Russia,52.03333333,113.5,0,0,11511,58000,102600,171800,241400,302600,365800,316643,323964
AR95401,Abakan,RUS34,Russia,53.71666667,91.41666667,0,0,10231,21400,80246,159275,204457,270476,322231,325748,323053
AKA08103,Taraz - djambul,KAZ004,Kazakhstan,42.9,71.37,0,0,11722,25000,64000,113346,187164,263793,306715,328795,320634
AUA21108,Kherson,UKR23,Ukraine,46.63,32.6,19577,33813,59076,57376,96987,157995,271102,330941,368486,339956,317360
AKA14104,Pavlodar,KAZ002,Kazakhstan,52.3,76.95,0,0,0,18000,29000,90096,187070,272895,330748,292044,317289
AAZ05105,Ganca,AZE00,Azerbaijan,40.68,46.36,0,10938,33625,55510,98949,116122,189512,231901,278006,300891,315900
ABE02103,Brest,BEL00,Belarus,52.1,23.7,11296,17376,46568,42935,41400,73614,121629,177249,258016,229712,312779
AR19430,Tchérépovets,RUS77,Russia,59.13333333,37.91666667,0,0,0,21200,32400,92400,188300,265900,310500,311869,312311
